PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,FETCH_DATE,SOURCE,PLAYER_STATUS,INJURY_RISK_SCORE,DAYS_SINCE_INJURY,INJURY_COUNT_LAST_YEAR,CHRONIC_INJURY_FLAG
1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,3,0,3,0.0,7.8,1.3,3.7,0.364,0.7,1.3,0.5,1.3,1.3,1.0,0.3,1.7,2.0,0.0,0.0,0.3,0.7,0.3,1.7,0.7,4.7,-4.7,10.1,0,0,9.3,475,484,432,484,431,374,344,427,283,347,11,196,252,1,381,312,338,487,474,375,86,245,270,362,344,464,356,179,22,361,1,2025-12-30 09:35,nba_stats,ACTIVE,0.488,14,1,0
1641824,Matas Buzelis,Matas,1610612741,CHI,21.0,32,15,17,0.469,27.3,5.1,10.4,0.486,1.7,4.7,0.356,2.2,2.7,0.805,1.1,4.1,5.2,1.5,1.8,0.8,1.4,0.6,2.8,2.6,14.0,-2.8,27.2,2,0,26.7,30,128,72,281,135,116,122,181,115,115,216,116,122,180,149,98,112,261,107,173,24,125,53,109,114,389,124,89,22,122,1,2025-12-30 09:35,nba_stats,ACTIVE,0.483,21,1,0
203486,Mason Plumlee,Mason,1610612766,CHA,35.0,14,6,8,0.429,8.9,0.6,0.9,0.75,0.0,0.0,0.0,0.6,0.9,0.667,0.7,2.1,2.9,1.1,0.6,0.4,0.0,0.1,0.7,0.9,1.9,0.6,7.6,0,0,6.7,366,340,303,312,415,451,486,7,431,464,431,340,333,353,254,254,255,305,325,345,434,431,435,302,447,206,400,179,22,409,1,2025-12-30 09:35,nba_stats,ACTIVE,0.0,999,0,0
1628963,Marvin Bagley III,Marvin,1610612764,WAS,26.0,26,6,20,0.231,19.8,4.1,6.6,0.626,0.2,0.5,0.462,1.6,2.3,0.689,2.6,3.0,5.6,1.6,1.0,0.4,0.8,0.5,2.2,1.8,10.1,-2.0,21.8,2,0,19.9,188,340,30,439,246,162,231,33,394,421,29,167,145,340,30,178,86,239,226,348,74,150,136,176,182,350,177,89,22,195,1,2025-12-30 09:35,nba_stats,ACTIVE,0.483,21,1,0
1631109,Mark Williams,Mark,1610612756,PHX,24.0,27,17,10,0.63,24.0,5.1,7.7,0.665,0.0,0.0,1.0,2.8,3.6,0.776,3.2,5.0,8.2,1.1,1.0,1.3,0.9,0.4,2.4,2.9,13.1,1.9,30.1,8,0,26.8,167,85,238,137,187,113,190,25,429,461,1,86,84,239,16,52,29,313,226,64,56,207,114,95,132,128,101,28,22,120,1,2025-12-30 09:35,nba_stats,ACTIVE,0.0,999,0,0
1641813,Mark Sears,Mark,1610612749,MIL,23.0,7,1,6,0.143,3.7,0.9,1.9,0.462,0.6,1.1,0.5,0.9,1.1,0.75,0.1,0.1,0.3,0.3,0.6,0.0,0.0,0.0,0.6,0.9,3.1,1.7,3.3,0,0,4.3,435,463,353,474,484,429,442,239,304,371,11,284,287,271,461,490,494,460,344,472,434,447,458,321,394,138,471,179,22,447,1,2025-12-30 09:35,nba_stats,ACTIVE,0.483,21,1,0
203935,Marcus Smart,Marcus,1610612747,LAL,31.0,21,14,7,0.667,27.3,3.2,8.0,0.402,1.6,5.3,0.304,1.7,1.9,0.923,0.7,2.0,2.6,2.8,1.7,1.4,0.3,0.2,2.9,2.4,9.8,2.9,20.6,0,0,20.2,287,152,329,95,134,206,181,379,122,83,325,149,187,48,273,285,283,137,118,44,201,354,46,118,188,85,194,179,22,188,1,2025-12-30 09:35,nba_stats,ACTIVE,0.493,8,1,0
1631204,Marcus Sasser,Marcus,1610612765,DET,25.0,4,3,1,0.75,4.7,0.8,1.5,0.5,0.3,0.8,0.333,0.0,0.0,0.0,0.0,0.8,0.8,1.8,0.3,0.0,0.0,0.0,0.8,0.0,1.8,-1.5,5.0,0,0,4.5,464,419,476,40,468,439,455,138,389,408,258,463,464,463,477,439,464,226,444,472,434,447,428,478,449,322,441,179,22,443,1,2025-12-30 09:35,nba_stats,ACTIVE,0.5,0,1,0
1628370,Malik Monk,Malik,1610612758,SAC,27.0,27,7,20,0.259,22.5,4.4,10.1,0.431,1.9,4.6,0.407,1.6,1.9,0.824,0.4,1.7,2.0,2.3,1.2,0.9,0.4,0.6,1.6,1.9,12.1,-3.4,20.6,0,0,20.9,167,314,30,413,206,151,126,318,98,120,96,173,185,153,370,312,337,165,178,161,170,104,280,170,149,410,190,179,22,179,1,2025-12-30 09:35,nba_stats,ACTIVE,0.0,999,0,0
1631103,Malaki Branham,Malaki,1610612764,WAS,22.0,17,4,13,0.235,8.4,1.2,2.8,0.447,0.2,1.1,0.222,1.1,1.3,0.818,0.4,1.2,1.6,0.7,0.5,0.1,0.1,0.4,0.8,0.8,3.8,-4.0,6.8,0,0,6.7,330,396,156,433,422,389,391,283,392,377,397,239,263,158,351,377,389,385,354,458,420,240,427,342,374,441,410,179,22,410,1,2025-12-30 09:35,nba_stats,ACTIVE,0.0,999,0,0
